"MotifName"	"log_FC_Change"	"adj_p_val"	"CellType"	"Significance"
"FOSL2::JUNB"	-1.15278017965202	0.266013909745067	"Naive CD8-1"	""
"FOSL2::JUNB"	1.23511528881308	0.393532588166218	"Naive CD4-2"	""
"FOSL2::JUND"	-0.373646624271032	1	"CD8 GZMK"	""
"FOSL2::JUND"	-0.932330871719178	1.2793708948722e-08	"Naive CD8-2"	""
"FOSL2::JUND"	1.49759401271054	3.81499620571797e-09	"Naive CD4-1"	""
"FOSL2::JUND"	1.99768925886338	1	"γδ T"	""
"FOSL2::JUND"	-1.4406114475422	0.366413781149558	"Naive CD8-1"	""
"FOSL2::JUND"	1.33064692271172	1	"Naive CD4-2"	""
"FOSL2::JUND"	0.345145457669898	0.00153650626874903	"CD8 GZMM"	"*"
"FOSL2::JUND"	3.80735424122214	0.000412623016133553	"Memory CD4"	"*"
"FOSL2::JUND"	-0.640080810434368	1	"NK"	""
"Foxf1"	0.0248162081392618	1	"CD8 GZMK"	""
"Foxf1"	-0.713380695819316	0.261956075922934	"Memory CD4"	""
"Foxf1"	0.0391961481599752	1	"NK"	""
"Foxf1"	-0.00542545678672446	1	"Naive CD4-2"	""
"Foxf1"	-0.470387532255916	1	"γδ T"	""
"Foxf1"	0.448202006229057	1	"Naive CD8-2"	""
"Foxf1"	0.346000644852109	1	"Naive CD8-1"	""
"Foxf1"	0.113048749941833	1	"Naive CD4-1"	""
"Foxf1"	-1.47452679301181	0.0101805588733533	"CD8 GZMM"	"*"
"FOXK1"	0.297933324047332	1	"NK"	""
"FOXK1"	-1.13186232588982	0.00125381824365205	"CD8 GZMM"	"*"
"FOXK1"	-0.309881339168226	1	"γδ T"	""
"FOXK1"	0.368699352129109	1	"Naive CD8-1"	""
"FOXK1"	0.135307838982956	1	"Naive CD4-2"	""
"FOXK1"	0.50217387071892	1	"Naive CD8-2"	""
"FOXK1"	-0.165713017024459	1	"CD8 GZMK"	""
"FOXK1"	0.51681438776752	1	"Naive CD4-1"	""
"FOXK1"	-0.546221175402251	1	"Memory CD4"	""
"FOXP2"	-0.481342716430878	1	"CD8 GZMK"	""
"FOXP2"	0.148995803871324	1	"NK"	""
"FOXP2"	0.251602341622218	1	"Naive CD8-2"	""
"FOXP2"	-1.08664459176625	0.0144008736315937	"CD8 GZMM"	"*"
"FOXP2"	-0.458767076007435	1	"γδ T"	""
"FOXP2"	0.0384579781370895	1	"Naive CD8-1"	""
"FOXP2"	0.111591752234381	1	"Naive CD4-2"	""
"FOXP2"	-0.62106321171639	1	"Memory CD4"	""
"FOXP2"	0.213032866654275	1	"Naive CD4-1"	""
"JDP2"	0.898715215336368	1	"Naive CD4-2"	""
"JDP2"	-0.00714411933384262	0.00666860098825187	"CD8 GZMM"	"*"
"JDP2"	5.08637227134962	0.0259534858027614	"Memory CD4"	"*"
"JDP2"	-1.47522936522231	0.0328064099628811	"Naive CD8-1"	"*"
"JDP2"	1.55747238550034	1.51009252171358e-06	"Naive CD4-1"	""
"JDP2"	-1.90997713821339	1	"CD8 GZMK"	""
"JDP2"	0.190182547921391	8.50782547100644e-09	"Naive CD8-2"	""
"JDP2"	0.983738154601845	1	"γδ T"	""
"JDP2"	-0.962411188209589	1	"NK"	""
"JUN::JUNB"	1.49430620549904	1	"γδ T"	""
"JUN::JUNB"	-0.997663241175693	0.22319620594446	"Naive CD8-1"	""
"JUN::JUNB"	0.816394216141641	0.366659237878389	"Naive CD4-2"	""
"JUN::JUNB"	1.74506675317943	1.99763715406913e-07	"Naive CD4-1"	""
"JUN::JUNB"	-2.463930643521	1	"CD8 GZMK"	""
"JUN::JUNB"	-0.362067775622323	0.000220578616250229	"CD8 GZMM"	"*"
"JUN::JUNB"	0.218332782425425	1.47578792714055e-06	"Naive CD8-2"	""
"JUN::JUNB"	3.24063537647807	0.0336583039571685	"Memory CD4"	"*"
"JUN::JUNB"	-1.39938364887855	1	"NK"	""
"JUN(var.2)"	1.62028267160653	6.60203647838484e-10	"Naive CD4-1"	""
"JUN(var.2)"	0.928440290080839	1	"Naive CD4-2"	""
"JUN(var.2)"	-3.09111912419585	1	"NK"	""
"JUN(var.2)"	1.83598374233646	1	"γδ T"	""
"JUN(var.2)"	-1.73015635961994	1	"CD8 GZMK"	""
"JUN(var.2)"	-1.28925585596918	0.0437722379534144	"Naive CD8-1"	"*"
"JUN(var.2)"	0.121829926855508	0.00591438983091667	"CD8 GZMM"	"*"
"JUN(var.2)"	-0.280477465003184	1.64807428347905e-08	"Naive CD8-2"	""
"JUN(var.2)"	5.26436616516198	0.0118516701648091	"Memory CD4"	"*"
"LEF1"	-0.35194471712643	1	"CD8 GZMK"	""
"LEF1"	-0.531338129241307	1	"Naive CD4-2"	""
"LEF1"	-0.250348570382573	1	"Naive CD4-1"	""
"LEF1"	-1.79378198861935	5.14933742766216e-06	"Memory CD4"	""
"LEF1"	0.863365370471694	1	"NK"	""
"LEF1"	-1.19758002839705	0.00216287044756301	"CD8 GZMM"	"*"
"LEF1"	0.0811138557250022	1	"Naive CD8-2"	""
"LEF1"	-0.486362775798064	1	"Naive CD8-1"	""
"LEF1"	-0.349451468665949	1	"γδ T"	""
"Mlxip"	-2.19490773380523	0.0123335367232302	"Memory CD4"	"*"
"Mlxip"	-0.273368977213582	1	"NK"	""
"Mlxip"	-0.217185251812182	1	"CD8 GZMM"	""
"Mlxip"	-0.280103922609811	1	"γδ T"	""
"Mlxip"	-0.951845812068307	1	"CD8 GZMK"	""
"Mlxip"	-0.224460898570913	1	"Naive CD8-1"	""
"Mlxip"	0.267999478492926	1	"Naive CD8-2"	""
"Mlxip"	0.0717031792439322	1	"Naive CD4-2"	""
"Mlxip"	0.270992725502876	1	"Naive CD4-1"	""
"NFE2"	-1.89856891797911	0.0315297273885694	"Memory CD4"	"*"
"NFE2"	-0.980462959578291	0.869404789255877	"Naive CD8-1"	""
"NFE2"	-0.972744143213253	1	"CD8 GZMK"	""
"NFE2"	2.14678988681955	1	"γδ T"	""
"NFE2"	1.20630475121087	1.40166526460196e-06	"Naive CD4-1"	""
"NFE2"	-0.238739804958134	4.3995752732462e-07	"Naive CD8-2"	""
"NFE2"	-0.437183343561029	1	"NK"	""
"NFE2"	-0.771069532687635	0.00174955323633751	"CD8 GZMM"	"*"
"NFE2"	1.45894799630739	1	"Naive CD4-2"	""
"NFE2L1"	-0.179621917269328	1	"Naive CD8-1"	""
"NFE2L1"	1.12078059934733	0.00796744523275431	"Naive CD4-1"	"*"
"NFE2L1"	0.594018222208763	1	"Memory CD4"	""
"NFE2L1"	-1.34261287389483	1	"NK"	""
"NFE2L1"	0.499611189011629	1	"γδ T"	""
"NFE2L1"	0.194434479473313	1	"CD8 GZMM"	""
"NFE2L1"	0.564265823703793	1	"Naive CD4-2"	""
"NFE2L1"	1.30085361724124	1	"CD8 GZMK"	""
"NFE2L1"	0.510550214471787	0.0236654621986217	"Naive CD8-2"	"*"
"Nfe2l2"	0.381084800926993	1	"Naive CD4-2"	""
"Nfe2l2"	0.521592819950466	1.14579417874264e-05	"Naive CD8-2"	""
"Nfe2l2"	-0.392417157553107	1	"NK"	""
"Nfe2l2"	0.232997718421187	1	"Naive CD8-1"	""
"Nfe2l2"	-0.630762550921391	1	"Memory CD4"	""
"Nfe2l2"	0.717433133972231	1	"CD8 GZMK"	""
"Nfe2l2"	0.48229375144856	1	"CD8 GZMM"	""
"Nfe2l2"	-0.237605753872488	1	"γδ T"	""
"Nfe2l2"	1.5255946256667	0.000249891011834594	"Naive CD4-1"	"*"
"PHOX2A"	0.276278018520869	1	"γδ T"	""
"PHOX2A"	-0.544777417591242	1	"CD8 GZMK"	""
"PHOX2A"	-1.22320879413434	0.00309934722174211	"CD8 GZMM"	"*"
"PHOX2A"	0.0857804769918247	1	"Naive CD4-1"	""
"PHOX2A"	-0.0553089599512029	1	"Naive CD4-2"	""
